,children,dob_years,education_id,family_status_id,gender,income_type,debt,total_income,purpose,years_employed,lemmas_purpose
18,0,53.0,1,2,F,пенсионер,0,56823.777,на покупку подержанного автомобиля,45.7,"['на', ' ', 'покупка', ' ', 'подержать', ' ', 'автомобиль', '\n']"
19,0,48.0,1,3,F,сотрудник,0,242831.11,на покупку своего автомобиля,27.5,"['на', ' ', 'покупка', ' ', 'свой', ' ', 'автомобиль', '\n']"
20,1,36.0,1,0,M,сотрудник,0,209552.64,недвижимость,3.594,"['недвижимость', '\n']"
21,1,33.0,1,1,F,сотрудник,0,131812.2,приобретение автомобиля,0.695,"['приобретение', ' ', 'автомобиль', '\n']"
22,1,24.0,1,1,F,сотрудник,0,149681.14,на покупку подержанного автомобиля,4.84,"['на', ' ', 'покупка', ' ', 'подержать', ' ', 'автомобиль', '\n']"
23,0,21.0,0,1,M,сотрудник,0,128265.72,сыграть свадьбу,0.748,"['сыграть', ' ', 'свадьба', '\n']"
24,1,57.0,1,4,F,пенсионер,0,290547.25,операции с коммерческой недвижимостью,38.66,"['операция', ' ', 'с', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
25,0,67.0,1,0,M,пенсионер,0,55112.758,покупка недвижимости,41.5,"['покупка', ' ', 'недвижимость', '\n']"
26,0,41.0,1,0,M,госслужащий,0,145017.94,образование,4.465,"['образование', '\n']"
27,0,28.0,0,0,M,сотрудник,0,308848.97,строительство собственной недвижимости,1.45,"['строительство', ' ', 'собственный', ' ', 'недвижимость', '\n']"
28,1,26.0,0,0,F,сотрудник,0,187863.23,строительство собственной недвижимости,1.965,"['строительство', ' ', 'собственный', ' ', 'недвижимость', '\n']"
29,0,63.0,1,4,F,пенсионер,0,145017.94,строительство жилой недвижимости,41.66,"['строительство', ' ', 'жилой', ' ', 'недвижимость', '\n']"
30,1,62.0,1,0,F,пенсионер,0,171456.06,операции с коммерческой недвижимостью,38.3,"['операция', ' ', 'с', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
31,0,47.0,3,0,F,сотрудник,0,275485.7,жилье,4.61,"['жилье', '\n']"
32,0,34.0,1,1,F,сотрудник,1,139057.47,на проведение свадьбы,12.74,"['на', ' ', 'проведение', ' ', 'свадьба', '\n']"
33,0,48.0,1,0,F,компаньон,0,157245.78,покупка жилья,4.242,"['покупка', ' ', 'жилье', '\n']"
34,0,35.0,1,0,F,сотрудник,0,104660.445,операции со своей недвижимостью,12.3,"['операция', ' ', 'со', ' ', 'свой', ' ', 'недвижимость', '\n']"
35,0,68.0,1,1,M,пенсионер,0,77805.68,на проведение свадьбы,44.97,"['на', ' ', 'проведение', ' ', 'свадьба', '\n']"
36,0,33.0,1,4,M,сотрудник,0,138830.66,автомобили,0.4827,"['автомобиль', '\n']"
37,0,43.0,0,1,F,компаньон,0,154128.88,приобретение автомобиля,17.67,"['приобретение', ' ', 'автомобиль', '\n']"
38,0,25.0,0,4,M,сотрудник,1,192247.3,образование,1.638,"['образование', '\n']"
39,0,31.0,0,1,F,компаньон,0,754240.8,заняться образованием,1.782,"['заниматься', ' ', 'образование', '\n']"
40,0,30.0,1,4,M,компаньон,0,142865.58,покупка недвижимости,2.822,"['покупка', ' ', 'недвижимость', '\n']"
41,0,50.0,1,0,F,госслужащий,0,145017.94,сделка с подержанным автомобилем,4.465,"['сделка', ' ', 'с', ' ', 'подержанный', ' ', 'автомобиль', '\n']"
42,0,20.0,2,4,F,сотрудник,0,82065.086,получение образования,3.445,"['получение', ' ', 'образование', '\n']"
43,0,43.0,2,3,F,компаньон,0,272957.12,приобретение автомобиля,11.984,"['приобретение', ' ', 'автомобиль', '\n']"
44,1,26.0,1,0,F,сотрудник,0,100780.5,на покупку своего автомобиля,3.732,"['на', ' ', 'покупка', ' ', 'свой', ' ', 'автомобиль', '\n']"
45,1,49.0,1,4,F,сотрудник,0,106385.92,заняться образованием,2.848,"['заниматься', ' ', 'образование', '\n']"
46,2,37.0,1,0,F,компаньон,0,182682.45,сделка с подержанным автомобилем,6.2,"['сделка', ' ', 'с', ' ', 'подержанный', ' ', 'автомобиль', '\n']"
47,1,33.0,0,1,M,госслужащий,0,356277.9,на проведение свадьбы,7.367,"['на', ' ', 'проведение', ' ', 'свадьба', '\n']"
48,0,45.0,1,0,F,сотрудник,0,162065.52,строительство собственной недвижимости,9.16,"['строительство', ' ', 'собственный', ' ', 'недвижимость', '\n']"
49,0,54.0,1,0,F,сотрудник,0,44591.81,автомобиль,3.236,"['автомобиль', '\n']"
50,0,63.0,1,0,F,пенсионер,0,92342.734,автомобили,40.38,"['автомобиль', '\n']"
51,1,50.0,0,1,F,сотрудник,0,203199.69,свадьба,19.05,"['свадьба', '\n']"
52,1,28.0,1,0,F,сотрудник,0,52746.42,получение дополнительного образования,9.74,"['получение', ' ', 'дополнительный', ' ', 'образование', '\n']"
53,0,61.0,1,3,F,компаньон,0,311453.6,покупка своего жилья,11.56,"['покупка', ' ', 'свой', ' ', 'жилье', '\n']"
54,0,27.0,0,1,F,сотрудник,0,92238.81,автомобили,9.53,"['автомобиль', '\n']"
55,0,54.0,1,1,F,пенсионер,1,145017.94,сыграть свадьбу,41.66,"['сыграть', ' ', 'свадьба', '\n']"
56,0,64.0,1,2,F,пенсионер,0,149141.05,образование,42.25,"['образование', '\n']"
57,0,44.0,1,2,F,сотрудник,0,58616.406,образование,6.645,"['образование', '\n']"
58,0,36.0,0,0,M,сотрудник,0,414404.2,недвижимость,0.9185,"['недвижимость', '\n']"
59,0,53.0,1,1,F,компаньон,0,261369.5,операции с недвижимостью,11.9,"['операция', ' ', 'с', ' ', 'недвижимость', '\n']"
60,1,48.0,1,0,M,сотрудник,0,129902.28,заняться образованием,6.945,"['заниматься', ' ', 'образование', '\n']"
61,0,42.0,1,1,F,сотрудник,0,173987.47,покупка недвижимости,8.18,"['покупка', ' ', 'недвижимость', '\n']"
62,0,48.0,0,4,M,госслужащий,0,435388.2,получение высшего образования,21.5,"['получение', ' ', 'высокий', ' ', 'образование', '\n']"
63,0,45.0,1,0,F,сотрудник,0,110004.36,операции с жильем,3.24,"['операция', ' ', 'с', ' ', 'жилье', '\n']"
64,0,35.0,2,4,M,сотрудник,0,282900.47,сделка с подержанным автомобилем,0.3257,"['сделка', ' ', 'с', ' ', 'подержанный', ' ', 'автомобиль', '\n']"
65,0,21.0,1,4,M,компаньон,0,145017.94,операции с коммерческой недвижимостью,4.465,"['операция', ' ', 'с', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
66,0,28.0,1,0,M,сотрудник,0,145214.53,заняться образованием,2.512,"['заниматься', ' ', 'образование', '\n']"
67,0,52.0,0,0,F,пенсионер,0,145017.94,покупка жилья для семьи,41.66,"['покупка', ' ', 'жилье', ' ', 'для', ' ', 'семья', '\n']"
68,2,46.0,0,0,M,компаньон,0,592071.44,операции с коммерческой недвижимостью,5.9,"['операция', ' ', 'с', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
69,0,23.0,1,4,F,сотрудник,0,91247.055,покупка своего жилья,2.135,"['покупка', ' ', 'свой', ' ', 'жилье', '\n']"
70,1,28.0,0,0,M,госслужащий,0,207561.47,покупка коммерческой недвижимости,7.676,"['покупка', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
71,0,62.0,1,0,F,пенсионер,0,43929.695,автомобили,38.6,"['автомобиль', '\n']"
72,1,32.0,0,0,M,госслужащий,0,145017.94,операции с коммерческой недвижимостью,4.465,"['операция', ' ', 'с', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
73,0,40.0,1,1,M,сотрудник,0,97946.84,заняться образованием,4.473,"['заниматься', ' ', 'образование', '\n']"
74,1,45.0,1,0,F,сотрудник,0,81142.78,покупка жилья для семьи,14.0,"['покупка', ' ', 'жилье', ' ', 'для', ' ', 'семья', '\n']"
75,1,38.0,1,0,M,сотрудник,1,81935.38,операции с недвижимостью,8.09,"['операция', ' ', 'с', ' ', 'недвижимость', '\n']"
76,1,44.0,0,0,M,сотрудник,0,148992.03,на покупку подержанного автомобиля,6.17,"['на', ' ', 'покупка', ' ', 'подержать', ' ', 'автомобиль', '\n']"
77,0,43.0,0,4,F,сотрудник,0,140843.97,свой автомобиль,1.991,"['свой', ' ', 'автомобиль', '\n']"
78,0,61.0,0,0,M,пенсионер,0,175127.64,сделка с автомобилем,41.06,"['сделка', ' ', 'с', ' ', 'автомобиль', '\n']"
79,0,27.0,1,4,M,компаньон,0,253681.7,автомобили,8.984,"['автомобиль', '\n']"
80,0,25.0,1,4,F,компаньон,0,82740.414,сделка с автомобилем,0.3489,"['сделка', ' ', 'с', ' ', 'автомобиль', '\n']"
81,0,33.0,1,0,F,сотрудник,0,110833.22,профильное образование,0.5605,"['профильный', ' ', 'образование', '\n']"
82,2,50.0,0,0,F,сотрудник,0,145017.94,жилье,4.465,"['жилье', '\n']"
83,0,52.0,1,0,M,сотрудник,0,145017.94,жилье,4.465,"['жилье', '\n']"
84,0,53.0,1,0,F,госслужащий,0,255909.17,операции со своей недвижимостью,19.52,"['операция', ' ', 'со', ' ', 'свой', ' ', 'недвижимость', '\n']"
85,0,30.0,1,0,M,сотрудник,0,54123.56,высшее образование,0.7563,"['высокий', ' ', 'образование', '\n']"
86,0,64.0,1,1,M,пенсионер,0,243033.45,свадьба,43.8,"['свадьба', '\n']"
87,0,53.0,1,0,F,пенсионер,0,74363.86,покупка жилья для сдачи,38.53,"['покупка', ' ', 'жилье', ' ', 'для', ' ', 'сдача', '\n']"
88,0,63.0,0,1,F,пенсионер,0,206872.34,на проведение свадьбы,42.6,"['на', ' ', 'проведение', ' ', 'свадьба', '\n']"
89,0,42.0,1,1,F,компаньон,0,49463.918,сделка с подержанным автомобилем,0.199,"['сделка', ' ', 'с', ' ', 'подержанный', ' ', 'автомобиль', '\n']"
90,2,35.0,0,0,F,сотрудник,0,145017.94,операции с жильем,4.465,"['операция', ' ', 'с', ' ', 'жилье', '\n']"
91,2,39.0,1,0,F,сотрудник,0,155886.86,покупка недвижимости,13.73,"['покупка', ' ', 'недвижимость', '\n']"
92,1,40.0,0,1,F,сотрудник,0,191397.97,сыграть свадьбу,4.574,"['сыграть', ' ', 'свадьба', '\n']"
93,1,32.0,1,0,M,сотрудник,1,331139.6,сделка с автомобилем,3.963,"['сделка', ' ', 'с', ' ', 'автомобиль', '\n']"
94,1,34.0,0,1,F,компаньон,0,145017.94,на проведение свадьбы,4.465,"['на', ' ', 'проведение', ' ', 'свадьба', '\n']"
95,0,51.0,0,0,F,сотрудник,0,94187.875,автомобиль,1.484,"['автомобиль', '\n']"
96,0,44.0,1,0,F,сотрудник,0,145017.94,покупка жилой недвижимости,4.465,"['покупка', ' ', 'жилой', ' ', 'недвижимость', '\n']"
97,0,47.0,0,0,F,сотрудник,0,145017.94,профильное образование,4.465,"['профильный', ' ', 'образование', '\n']"
98,0,54.0,0,0,F,пенсионер,0,199707.3,покупка жилья для сдачи,41.66,"['покупка', ' ', 'жилье', ' ', 'для', ' ', 'сдача', '\n']"
99,0,56.97,1,0,F,пенсионер,0,71291.52,автомобиль,39.56,"['автомобиль', '\n']"
100,0,49.0,1,2,F,сотрудник,1,176384.88,операции с недвижимостью,1.657,"['операция', ' ', 'с', ' ', 'недвижимость', '\n']"
101,0,65.0,1,0,F,пенсионер,0,157970.48,на покупку своего автомобиля,44.7,"['на', ' ', 'покупка', ' ', 'свой', ' ', 'автомобиль', '\n']"
102,0,51.0,1,1,F,компаньон,0,126706.6,на покупку подержанного автомобиля,3.773,"['на', ' ', 'покупка', ' ', 'подержать', ' ', 'автомобиль', '\n']"
103,1,39.0,1,4,F,сотрудник,0,142231.48,строительство недвижимости,2.434,"['строительство', ' ', 'недвижимость', '\n']"
104,0,59.0,1,4,F,пенсионер,0,163581.95,покупка жилья для сдачи,41.8,"['покупка', ' ', 'жилье', ' ', 'для', ' ', 'сдача', '\n']"
105,0,62.0,1,2,F,сотрудник,0,76884.19,строительство собственной недвижимости,5.75,"['строительство', ' ', 'собственный', ' ', 'недвижимость', '\n']"
106,1,29.0,1,1,F,сотрудник,0,171871.73,образование,0.8237,"['образование', '\n']"
107,0,24.0,0,1,F,компаньон,0,202988.77,строительство собственной недвижимости,4.09,"['строительство', ' ', 'собственный', ' ', 'недвижимость', '\n']"
108,2,33.0,0,1,F,сотрудник,0,180051.75,сделка с подержанным автомобилем,2.064,"['сделка', ' ', 'с', ' ', 'подержанный', ' ', 'автомобиль', '\n']"
109,0,59.0,1,0,F,сотрудник,0,107643.67,образование,5.883,"['образование', '\n']"
110,0,41.0,1,0,M,госслужащий,0,118551.61,покупка жилья,1.134,"['покупка', ' ', 'жилье', '\n']"
111,0,61.0,1,4,F,компаньон,0,173896.62,недвижимость,35.44,"['недвижимость', '\n']"
112,1,28.0,0,0,M,сотрудник,0,280934.3,недвижимость,5.043,"['недвижимость', '\n']"
113,0,52.0,1,0,F,госслужащий,0,120655.1,образование,16.67,"['образование', '\n']"
114,0,26.0,0,0,F,сотрудник,1,143471.72,операции со своей недвижимостью,4.383,"['операция', ' ', 'со', ' ', 'свой', ' ', 'недвижимость', '\n']"
115,1,38.0,0,0,F,госслужащий,0,97848.27,операции с коммерческой недвижимостью,6.914,"['операция', ' ', 'с', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
116,1,50.0,1,0,M,сотрудник,0,83366.32,покупка жилой недвижимости,1.4795,"['покупка', ' ', 'жилой', ' ', 'недвижимость', '\n']"
117,0,41.0,1,3,F,сотрудник,0,178975.14,на покупку автомобиля,10.46,"['на', ' ', 'покупка', ' ', 'автомобиль', '\n']"
118,2,33.0,1,1,M,компаньон,0,113572.21,на проведение свадьбы,7.6,"['на', ' ', 'проведение', ' ', 'свадьба', '\n']"
119,0,60.0,1,4,F,пенсионер,0,31534.75,покупка коммерческой недвижимости,43.62,"['покупка', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
120,0,46.0,1,0,F,сотрудник,0,145017.94,высшее образование,4.465,"['высокий', ' ', 'образование', '\n']"
121,0,29.0,0,0,F,компаньон,0,145017.94,автомобиль,4.465,"['автомобиль', '\n']"
122,0,55.0,0,0,F,компаньон,0,103628.07,автомобили,0.469,"['автомобиль', '\n']"
123,2,39.0,1,0,M,сотрудник,0,83892.81,покупка жилья для сдачи,15.664,"['покупка', ' ', 'жилье', ' ', 'для', ' ', 'сдача', '\n']"
124,0,38.0,1,0,F,сотрудник,1,175046.42,операции с коммерческой недвижимостью,2.96,"['операция', ' ', 'с', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
125,0,64.0,0,1,F,компаньон,0,186408.73,свадьба,0.524,"['свадьба', '\n']"
126,1,49.0,1,0,M,компаньон,0,339517.38,строительство собственной недвижимости,6.77,"['строительство', ' ', 'собственный', ' ', 'недвижимость', '\n']"
127,0,43.0,0,4,F,сотрудник,0,203279.6,строительство жилой недвижимости,14.33,"['строительство', ' ', 'жилой', ' ', 'недвижимость', '\n']"
128,0,67.0,1,3,F,пенсионер,0,112331.79,сделка с автомобилем,43.28,"['сделка', ' ', 'с', ' ', 'автомобиль', '\n']"
129,0,61.0,1,1,M,пенсионер,0,103644.93,автомобиль,41.22,"['автомобиль', '\n']"
130,0,42.0,1,0,F,компаньон,0,95845.74,операции со своей недвижимостью,2.459,"['операция', ' ', 'со', ' ', 'свой', ' ', 'недвижимость', '\n']"
131,0,58.0,1,0,M,сотрудник,0,73637.586,получение дополнительного образования,1.752,"['получение', ' ', 'дополнительный', ' ', 'образование', '\n']"
132,1,45.0,1,0,M,сотрудник,0,246228.0,автомобиль,3.58,"['автомобиль', '\n']"
133,0,64.0,1,0,F,пенсионер,0,79047.66,образование,39.3,"['образование', '\n']"
134,1,46.0,2,3,F,сотрудник,0,166015.8,покупка жилой недвижимости,11.43,"['покупка', ' ', 'жилой', ' ', 'недвижимость', '\n']"
135,0,27.0,1,0,M,компаньон,0,145017.94,жилье,4.465,"['жилье', '\n']"
136,0,60.0,3,0,M,пенсионер,0,113124.2,операции со своей недвижимостью,40.84,"['операция', ' ', 'со', ' ', 'свой', ' ', 'недвижимость', '\n']"
137,1,28.0,0,1,M,сотрудник,0,269423.97,сыграть свадьбу,5.234,"['сыграть', ' ', 'свадьба', '\n']"
138,0,43.0,1,0,F,госслужащий,0,119827.66,покупка своего жилья,7.047,"['покупка', ' ', 'свой', ' ', 'жилье', '\n']"
139,0,29.0,2,0,M,компаньон,0,196932.08,ремонт жилью,4.836,"['ремонт', ' ', 'жилье', '\n']"
140,0,24.0,1,1,F,сотрудник,0,102110.99,покупка коммерческой недвижимости,8.266,"['покупка', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
141,0,39.0,1,1,M,сотрудник,0,145017.94,свадьба,4.465,"['свадьба', '\n']"
142,0,54.0,1,0,F,пенсионер,0,108280.65,сделка с подержанным автомобилем,39.72,"['сделка', ' ', 'с', ' ', 'подержанный', ' ', 'автомобиль', '\n']"
143,0,48.0,1,2,F,сотрудник,0,151069.44,строительство собственной недвижимости,5.188,"['строительство', ' ', 'собственный', ' ', 'недвижимость', '\n']"
144,1,45.0,1,1,F,сотрудник,0,284248.1,свой автомобиль,5.77,"['свой', ' ', 'автомобиль', '\n']"
145,0,62.0,1,0,M,пенсионер,0,145017.94,строительство недвижимости,41.66,"['строительство', ' ', 'недвижимость', '\n']"
146,0,46.0,1,0,F,сотрудник,0,98709.734,покупка жилья,3.566,"['покупка', ' ', 'жилье', '\n']"
147,0,47.0,1,0,F,госслужащий,1,74535.09,операции с недвижимостью,15.81,"['операция', ' ', 'с', ' ', 'недвижимость', '\n']"
148,0,37.0,1,0,F,сотрудник,0,145159.22,на покупку своего автомобиля,13.836,"['на', ' ', 'покупка', ' ', 'свой', ' ', 'автомобиль', '\n']"
149,0,43.5,1,3,F,сотрудник,0,70176.44,операции с жильем,7.3,"['операция', ' ', 'с', ' ', 'жилье', '\n']"
150,0,71.0,1,1,F,пенсионер,0,174088.3,сыграть свадьбу,44.94,"['сыграть', ' ', 'свадьба', '\n']"
151,0,37.0,0,1,F,компаньон,0,463089.97,сыграть свадьбу,2.457,"['сыграть', ' ', 'свадьба', '\n']"
152,1,39.0,1,0,F,компаньон,0,40891.13,покупка своего жилья,9.86,"['покупка', ' ', 'свой', ' ', 'жилье', '\n']"
153,1,20.0,1,0,M,компаньон,1,134750.75,жилье,0.3638,"['жилье', '\n']"
154,1,41.0,0,2,F,сотрудник,0,143113.33,операции с коммерческой недвижимостью,4.94,"['операция', ' ', 'с', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
155,0,40.0,1,0,F,компаньон,0,70788.336,дополнительное образование,3.31,"['дополнительный', ' ', 'образование', '\n']"
156,0,65.0,1,0,M,пенсионер,0,261291.03,получение дополнительного образования,41.38,"['получение', ' ', 'дополнительный', ' ', 'образование', '\n']"
157,0,38.0,1,0,F,пенсионер,1,113560.65,сделка с автомобилем,39.78,"['сделка', ' ', 'с', ' ', 'автомобиль', '\n']"
158,0,56.0,1,0,F,сотрудник,0,80547.24,образование,30.14,"['образование', '\n']"
159,0,59.0,1,4,F,пенсионер,0,149542.86,на покупку своего автомобиля,42.34,"['на', ' ', 'покупка', ' ', 'свой', ' ', 'автомобиль', '\n']"
160,0,45.0,1,1,M,сотрудник,0,198386.8,покупка жилья для сдачи,5.652,"['покупка', ' ', 'жилье', ' ', 'для', ' ', 'сдача', '\n']"
161,1,39.0,0,0,F,сотрудник,0,87107.12,приобретение автомобиля,3.145,"['приобретение', ' ', 'автомобиль', '\n']"
162,0,62.0,1,0,M,сотрудник,0,66577.62,получение дополнительного образования,10.29,"['получение', ' ', 'дополнительный', ' ', 'образование', '\n']"
163,0,50.0,1,0,M,сотрудник,0,78975.58,ремонт жилью,20.47,"['ремонт', ' ', 'жилье', '\n']"
164,2,27.0,0,0,F,сотрудник,1,369587.1,на покупку своего автомобиля,6.457,"['на', ' ', 'покупка', ' ', 'свой', ' ', 'автомобиль', '\n']"
165,2,32.0,0,0,M,госслужащий,0,228289.25,покупка жилья,3.477,"['покупка', ' ', 'жилье', '\n']"
166,0,38.0,1,1,M,сотрудник,0,144073.72,операции с жильем,1.233,"['операция', ' ', 'с', ' ', 'жилье', '\n']"
167,0,56.0,1,1,F,госслужащий,0,220719.06,на проведение свадьбы,19.78,"['на', ' ', 'проведение', ' ', 'свадьба', '\n']"
168,0,67.0,1,2,F,пенсионер,0,139038.94,покупка своего жилья,41.3,"['покупка', ' ', 'свой', ' ', 'жилье', '\n']"
169,0,58.0,1,1,F,пенсионер,0,167861.7,приобретение автомобиля,42.47,"['приобретение', ' ', 'автомобиль', '\n']"
170,0,28.0,0,4,M,сотрудник,0,121721.89,жилье,0.4993,"['жилье', '\n']"
171,0,60.0,1,1,F,компаньон,0,225197.8,на проведение свадьбы,26.2,"['на', ' ', 'проведение', ' ', 'свадьба', '\n']"
172,0,49.0,1,0,F,сотрудник,0,182980.11,строительство недвижимости,12.74,"['строительство', ' ', 'недвижимость', '\n']"
173,0,49.0,1,0,M,компаньон,0,416461.88,покупка коммерческой недвижимости,24.94,"['покупка', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
174,0,55.0,0,2,F,компаньон,0,145017.94,свой автомобиль,4.465,"['свой', ' ', 'автомобиль', '\n']"
175,2,38.0,1,0,F,сотрудник,0,141210.69,строительство недвижимости,4.754,"['строительство', ' ', 'недвижимость', '\n']"
176,0,60.0,1,0,F,пенсионер,0,104621.07,заняться высшим образованием,41.56,"['заниматься', ' ', 'высокий', ' ', 'образование', '\n']"
177,2,48.0,1,0,M,госслужащий,0,173074.19,сделка с подержанным автомобилем,5.777,"['сделка', ' ', 'с', ' ', 'подержанный', ' ', 'автомобиль', '\n']"
178,0,59.0,1,2,F,пенсионер,0,87268.78,приобретение автомобиля,45.2,"['приобретение', ' ', 'автомобиль', '\n']"
179,0,43.0,1,4,F,сотрудник,0,177790.02,покупка своего жилья,3.225,"['покупка', ' ', 'свой', ' ', 'жилье', '\n']"
180,0,37.0,1,1,F,сотрудник,0,212257.22,сыграть свадьбу,0.1661,"['сыграть', ' ', 'свадьба', '\n']"
181,0,26.0,1,1,F,компаньон,1,145017.94,покупка жилья для семьи,4.465,"['покупка', ' ', 'жилье', ' ', 'для', ' ', 'семья', '\n']"
182,1,49.0,1,1,F,сотрудник,0,81419.7,свадьба,22.38,"['свадьба', '\n']"
183,1,35.0,0,1,M,компаньон,1,272193.0,получение дополнительного образования,0.4556,"['получение', ' ', 'дополнительный', ' ', 'образование', '\n']"
184,0,57.0,0,0,M,пенсионер,0,141337.86,покупка жилья для сдачи,42.2,"['покупка', ' ', 'жилье', ' ', 'для', ' ', 'сдача', '\n']"
185,0,32.0,1,1,M,сотрудник,1,160905.7,получение дополнительного образования,13.77,"['получение', ' ', 'дополнительный', ' ', 'образование', '\n']"
186,0,34.0,1,3,F,сотрудник,0,201650.36,операции с коммерческой недвижимостью,0.6167,"['операция', ' ', 'с', ' ', 'коммерческий', ' ', 'недвижимость', '\n']"
187,0,46.0,0,1,F,сотрудник,0,260037.67,высшее образование,2.402,"['высокий', ' ', 'образование', '\n']"
188,0,48.0,1,0,M,сотрудник,0,173544.67,покупка своего жилья,0.2717,"['покупка', ' ', 'свой', ' ', 'жилье', '\n']"
189,1,30.0,1,4,F,сотрудник,0,145017.94,свой автомобиль,4.465,"['свой', ' ', 'автомобиль', '\n']"
190,0,26.0,1,1,M,компаньон,0,160891.47,на проведение свадьбы,0.9194,"['на', ' ', 'проведение', ' ', 'свадьба', '\n']"
191,0,60.0,1,0,F,пенсионер,0,173948.36,высшее образование,38.4,"['высокий', ' ', 'образование', '\n']"
192,0,47.0,1,0,M,сотрудник,0,218442.0,свой автомобиль,7.05,"['свой', ' ', 'автомобиль', '\n']"
193,0,60.0,0,3,F,пенсионер,0,97192.0,на покупку подержанного автомобиля,44.1,"['на', ' ', 'покупка', ' ', 'подержать', ' ', 'автомобиль', '\n']"
194,0,24.0,1,1,M,компаньон,0,135860.89,получение образования,0.2693,"['получение', ' ', 'образование', '\n']"
195,0,51.0,1,0,F,сотрудник,0,255838.36,дополнительное образование,0.3208,"['дополнительный', ' ', 'образование', '\n']"
196,0,37.0,0,0,F,компаньон,0,160754.55,покупка своего жилья,4.355,"['покупка', ' ', 'свой', ' ', 'жилье', '\n']"
197,0,59.0,0,0,F,сотрудник,0,140849.62,покупка недвижимости,33.25,"['покупка', ' ', 'недвижимость', '\n']"
198,0,52.0,1,4,F,компаньон,0,139169.4,на покупку своего автомобиля,3.844,"['на', ' ', 'покупка', ' ', 'свой', ' ', 'автомобиль', '\n']"
199,1,23.0,1,2,F,сотрудник,0,58549.63,сделка с подержанным автомобилем,0.6123,"['сделка', ' ', 'с', ' ', 'подержанный', ' ', 'автомобиль', '\n']"
200,0,41.0,1,1,F,сотрудник,0,201126.05,строительство недвижимости,15.16,"['строительство', ' ', 'недвижимость', '\n']"
201,0,39.0,1,0,F,компаньон,0,86996.805,покупка жилой недвижимости,17.92,"['покупка', ' ', 'жилой', ' ', 'недвижимость', '\n']"
202,1,38.0,1,0,F,сотрудник,1,90960.94,покупка жилой недвижимости,4.316,"['покупка', ' ', 'жилой', ' ', 'недвижимость', '\n']"
